event,nist.f1,nist.precision,nist.recall,wiki.f1,wiki.precision,wiki.recall
CrisisFACTS-009,0.2210731484271862,0.24758714106347826,0.25490254053363093,0.03453342147447445,0.02000763594966244,0.25136165624415435
CrisisFACTS-010,0.14919226975352676,0.11431512512542584,0.2860976912909084,0.023203974348251468,0.01281245859960715,0.18932038862948064
CrisisFACTS-011,0.1452566076208044,0.10019049420952797,0.35903426646082487,,,
CrisisFACTS-012,0.17917000502347946,0.17972396120980935,0.21014430318717603,,,
CrisisFACTS-013,0.22971567842695448,0.2242601889151114,0.2861179709434509,0.01919873107086729,0.010242391929582314,0.24369296541920415
CrisisFACTS-014,0.23435503685915912,0.2956340964193697,0.22088330915128743,0.05360031072740202,0.03222889842948428,0.22114521789330024
CrisisFACTS-015,0.2337514231050456,0.23356431115556647,0.2872914544962071,0.02073562835101728,0.010893801813600239,0.3283068802621629
CrisisFACTS-016,0.1821916194425689,0.18200842567064143,0.2081950298613972,0.03434705865327959,0.01966496926076986,0.17824996842278373
CrisisFACTS-017,0.22424601942852693,0.2664951726242348,0.21984568610787392,0.018629574372122686,0.009963196719548217,0.2335932434157089
CrisisFACTS-018,0.22815542530130456,0.2913949699313552,0.21166998065180248,0.02036228048166743,0.010896801862313791,0.22476675223421166
